13,Artibeus hartii
13,Cavia cutleri
13,Chondrostoma knerii
13,Chondrostoma phoxinus
13,Dinemellia dinemelli
13,Eremodipus lichtensteini
13,Iberochondrostoma oretanum
13,Peltohyas australis
13,Platyrrhinus ismaeli
13,Pomadasys perotaei
13,Samariscus japonicus
13,Siptornopsis hypochondriaca
13,Synallaxis gujanensis
13,Synallaxis stictothorax
13,Urocitellus washingtoni
13,Vidua fischeri
13,Zeugopterus punctatus
13,Zungaro zungaro
14,Acrochordus arafurae
14,Aechmophorus occidentalis
14,Choeroniscus minor
14,Eupleres goudotii
14,Exodon paradoxus
14,Geogale aurita
14,Leucopsar rothschildi
14,Lophostoma schulzi
14,Micronycteris brachyotis
14,Onychogalea fraenata
14,Pseudolithoxus dumus
14,Pygoderma bilabiatum
14,Rutilus kutum
14,Samariscus xenicus
14,Sebastes capensis
14,Spartonoica maluroides
14,Triaenops menamena
14,Vidua raricola
15,Amazona viridigenalis
15,Artibeus anderseni
15,Brachytarsomys albicauda
15,Cepphus columba
15,Chapalichthys encaustus
15,Chunga burmeisteri
15,Dormitator cubanus
15,Glossophaga commissarisi
15,Haematopus leucopodus
15,Melogale personata
15,Myotis chinensis
15,Nonnula ruficapilla
15,Oligodon cinereus
15,Phalaropus tricolor
15,Pterodoras granulosus
15,Ptilocercus lowii
15,Thalassoma pavo
15,Uroderma magnirostrum
15,Zoothera dixoni
16,Allactaga hotsoni
16,Amazona auropalliata
16,Argyropelecus hemigymnus
16,Euroscaptor malayana
16,Glyphonycteris sylvestris
16,Hylonycteris underwoodi
16,Hystrix africaeaustralis
16,Lampropeltis extenuata
16,Lepadogaster lepadogaster
16,Menidia estor
16,Micronycteris microtis
16,Microtus evoronensis
16,Plegadis chihi
16,Protochondrostoma genei
16,Synallaxis spixi
16,Tenrec ecaudatus
16,Vidua regia
16,Zelotomys hildegardeae
17,Alburnoides kubanicus
17,Allactaga major
17,Artibeus hirsutus
17,Aspidoscelis uniparens
17,Atherurus macrourus
17,Branta leucopsis
17,Catostomus latipinnis
17,Chlorophthalmus albatrossis
17,Cubiceps gracilis
17,Eolagurus luteus
17,Galidia elegans
17,Helogale parvula
17,Kassina maculata
17,Leucophaeus atricilla
17,Microtus chrotorrhinus
17,Notothenia neglecta
17,Nycteris grandis
17,Palmeria dolei
17,Pontinus longispinis
17,Rhizoprionodon terraenovae
17,Streptopelia risoria
17,Symphurus civitatium
18,Aratinga auricapillus
18,Barbodes everetti
18,Champsodon snyderi
18,Drepane africana
18,Fulica americana
18,Hipposideros halophyllus
18,Hipposideros jonesi
18,Hypogeomys antimena
18,Lamprotornis iris
18,Lophostoma brasiliense
18,Mesoplodon peruvianus
18,Microtus qazvinensis
18,Pithecia irrorata
18,Platyrrhinus recifinus
18,Pomacanthus maculosus
18,Pseudoseisura lophotes
18,Schoeniophylax phryganophilus
18,Sciurus aestuans
18,Stochomys longicaudatus
18,Synallaxis scutata
18,Tangara mexicana
19,Alipiopsitta xanthops
19,Amazona amazonica
19,Cardiocranius paradoxus
19,Climacteris erythrops
19,Coryphaenoides cinereus
19,Dacnis cayana
19,Eolagurus przewalskii
19,Haematopus palliatus
19,Holanthias chrysostictus
19,Jenynsia multidentata
19,Latris lineata
19,Meles canescens
19,Nyctibius bracteatus
19,Oenomys hypoxanthus
19,Pantherophis bairdi
19,Pantherophis emoryi
19,Phaenicophaeus curvirostris
19,Platyrrhinus brachycephalus
19,Sarothrura elegans
19,Scaptochirus moschatus
19,Tapirus bairdii
19,Urocitellus columbianus
19,Urva auropunctata
20,Anematichthys armatus
20,Aotus griseimembra
20,Bassaricyon alleni
20,Bothus podas
20,Ceratias holboelli
20,Cloeotis percivali
20,Graydidascalus brachyurus
20,Lampropeltis ruthveni
20,Lycalopex fulvipes
20,Maxomys bartelsii
20,Monias benschi
20,Oligodon catenatus
20,Oryzias matanensis
20,Phegornis mitchellii
20,Scorpaena onaria
20,Tapirus pinchaque
20,Thalasseus maximus
20,Vampyressa nymphaea
20,Vulpes chama
21,Achalinus ater
21,Alburnoides ohridanus
21,Alburnoides strymonicus
21,Amazona barbadensis
21,Arvicanthis ansorgei
21,Atelocynus microtis
21,Brachypteracias squamigera
21,Ctenolabrus rupestris
21,Eurostopodus mystacalis
21,Hipposideros abae
21,Hypsibarbus wetmorei
21,Lophotis ruficrista
21,Lutjanus argentiventris
21,Macrophyllum macrophyllum
21,Monophyllus redmani
21,Niviventer culturatus
21,Oreopholus ruficollis
21,Oryzias woworae
21,Pareas nigriceps
21,Pareas stanleyi
21,Podilymbus podiceps
21,Propithecus deckenii
21,Psarocolius decumanus
21,Psettodes belcheri
21,Scapanus latimanus
21,Thalasseus bernsteini
21,Tonatia bidens
21,Urocitellus townsendii
22,Batrachostomus septimus
22,Characidium gomesi
22,Chrysiptera parasema
22,Cochlearius cochlearius
22,Creatophora cinerea
22,Dasyprocta punctata
22,Hapalemur aureus
22,Iberochondrostoma olisiponensis
22,Julidochromis transcriptus
22,Liopeltis stoliczkae
22,Lycodon rosozonatus
22,Lycodon septentrionalis
22,Lythrurus fasciolaris
22,Micronycteris hirsuta
22,Micronycteris nicefori
22,Miniopterus manavi
22,Myrrophis bennettii
22,Paralichthys adspersus
22,Platyrrhinus aurarius
22,Pluvialis dominica
22,Syrrhaptes paradoxus
22,Tringa melanoleuca
22,Urocitellus elegans
22,Vampyressa brocki
23,Achondrostoma arcasii
23,Anomalospiza imberbis
23,Attagis gayi
23,Grallaria varia
23,Microtus irani
23,Mormoops blainvillei
23,Mycteroperca rosacea
23,Odontaspis ferox
23,Pagrus auratus
23,Phylloderma stenops
23,Polypedates maculatus
23,Psammophis lineolatus
23,Salpingotus kozlovi
23,Siebenrockiella crassicollis
23,Sturnira bogotensis
23,Thalasseus bergii
23,Urocitellus beldingi
24,Ateles hybridus
24,Catostomus insignis
24,Chodsigoa sodalis
24,Clevelandia ios
24,Cyrtocara moorii
24,Desmana moschata
24,Desmopuntius hexazona
24,Erophylla sezekorni
24,Glossophaga longirostris
24,Melanotaenia fluviatilis
24,Microtus majori
24,Notiosorex crawfordi
24,Oreochromis grahami
24,Pareas monticola
24,Phenacomys intermedius
24,Potamochoerus larvatus
24,Procyon cancrivorus
24,Rynchops niger
24,Synallaxis rutilans
24,Telespiza ultima
24,Thamnaconus septentrionalis
24,Urogale everetti
24,Vulpes cana
25,Alburnoides eichwaldii
25,Brachygalba albogularis
25,Centurio senex
25,Coelops frithii
25,Crinifer piscator
25,Crotalus stephensi
25,Gampsonyx swainsonii
25,Hydrictis maculicollis
