Neolamprologus brichardi
Oncorhynchus mykiss
Oncorhynchus nerka
Oreochromis niloticus
Oryzias javanicus
Oryzias latipes
Oryzias melastigma
Pangasianodon hypophthalmus
Paralichthys olivaceus
Parambassis ranga
Paramormyrops kingsleyae
Perca flavescens
Phalacrocorax carbo
Poecilia formosa
Poecilia latipinna
Poecilia mexicana
Poecilia reticulata
Pundamilia nyererei
Pygocentrus nattereri
Salarias fasciatus
Salmo salar
Salmo trutta
Salvelinus alpinus
Scleropages formosus
Scophthalmus maximus
Seriola dumerili
Sinocyclocheilus anshuiensis
Sinocyclocheilus grahami
Sinocyclocheilus rhinocerous
Sparus aurata
Sphaeramia orbicularis
Stegastes partitus
Tachysurus fulvidraco
Takifugu bimaculatus
Takifugu flavidus
Takifugu rubripes
Tetraodon nigroviridis
Thamnophis sirtalis
Xenopus laevis
Xenopus tropicalis
Xiphophorus couchianus
Xiphophorus maculatus
Acanthogobius hasta
Acanthopagrus schlegelii
Acipenser baerii
Acipenser dabryanus
Acipenser gueldenstaedtii
Acipenser persicus
Acipenser schrenckii
Acipenser sinensis
Acipenser transmontanus
Acrossocheilus fasciatus
Alburnus tarichi
Ambystoma mexicanum
Amphiprion clarkii
Amphiprion melanopus
Anabarilius grahami
Andrias davidianus
Anematichthys armatus
Anguilla anguilla
Anguilla australis
Anguilla japonica
Anser anser
Anser brachyrhynchus
Anser indicus
Antilope cervicapra
Apodemus speciosus
Argyrosomus regius
Ariopsis felis
Arvicanthis ansorgei
Atelomycterus marmoratus
Atherina boyeri
Atractaspis microlepidota
Atractosteus tropicus
Balaenoptera borealis
Balaenoptera brydei
Basilichthys microlepidotus
Boa constrictor
Boleophthalmus boddarti
Boreogadus saida
Bos gaurus
Bos grunniens
Bostrychus sinensis
Branta leucopsis
Buergeria buergeri
Buergeria japonica
Bufo gargarizans
Calidris alpina
Calidris canutus
Callionymus valenciennei
Calomys laucha
Calotes versicolor
Campylomormyrus compressirostris
Caretta caretta
Castor fiber
Chaenocephalus aceratus
Chaerephon plicatus
Channa argus
Channa gachua
Channa maculata
Channa striata
Chasmistes brevirostris
Chelon auratus
Chiloscyllium punctatum
Chlorocebus aethiops
Chlorocebus pygerythrus
Chrysiptera cyanea
Cichlasoma dimerus
Cirrhinus molitorella
Clarias fuscus
