org1,org2,dst
Macaca fascicularis,Macaca mulatta,0.002675672845324118
Astatotilapia calliptera,Maylandia zebra,0.0030950170225936243
Eumetopias jubatus,Zalophus californianus,0.0032971014492753623
Poecilia formosa,Poecilia mexicana,0.00443611371446423
Callorhinus ursinus,Eumetopias jubatus,0.004923281382143289
Delphinapterus leucas,Monodon monoceros,0.005036929410340235
Callorhinus ursinus,Zalophus californianus,0.005229822656532754
Macaca fascicularis,Macaca nemestrina,0.005328042328042328
Macaca mulatta,Macaca nemestrina,0.005578317050110306
Acinonyx jubatus,Felis catus,0.005721661863592699
Maylandia zebra,Pundamilia nyererei,0.00598048473402581
Astatotilapia calliptera,Pundamilia nyererei,0.0061121613106490235
Capra hircus,Ovis aries,0.006287313432835821
Haplochromis burtoni,Maylandia zebra,0.006346989447548107
Xiphophorus couchianus,Xiphophorus maculatus,0.006399502951227089
Papio anubis,Theropithecus gelada,0.006419167983149026
Astatotilapia calliptera,Haplochromis burtoni,0.006787822305063684
Homo sapiens,Pan troglodytes,0.006794988380317267
Poecilia formosa,Poecilia latipinna,0.006813221078889929
Pan paniscus,Pan troglodytes,0.006855008417508417
Macaca fascicularis,Theropithecus gelada,0.006955006337135614
Macaca mulatta,Theropithecus gelada,0.0069811320754716985
Lagenorhynchus obliquidens,Orcinus orca,0.0071769456681350955
Falco cherrug,Falco peregrinus,0.007237122179650915
Lepidothrix coronata,Pipra filicauda,0.007291018460900228
Macaca mulatta,Papio anubis,0.007324740647595096
Cercocebus atys,Macaca fascicularis,0.007919056724028043
Macaca fascicularis,Papio anubis,0.008043432426734134
Haplochromis burtoni,Pundamilia nyererei,0.008088930936613056
Cercocebus atys,Macaca mulatta,0.008117088607594936
Felis catus,Lynx canadensis,0.008211944646758921
Equus asinus,Equus caballus,0.008233004986014836
Cercocebus atys,Theropithecus gelada,0.008235356424107616
Corapipo altera,Pipra filicauda,0.008440893259577954
Acinonyx jubatus,Lynx canadensis,0.008493647912885661
Acinonyx jubatus,Panthera pardus,0.008598265895953756
Bos indicus,Bos taurus,0.008668771375953697
Camelus bactrianus,Camelus dromedarius,0.008797690763052209
Felis catus,Panthera pardus,0.008895742622157718
Canis lupus,Vulpes vulpes,0.00893121301775148
Macaca nemestrina,Theropithecus gelada,0.008939345824071134
Poecilia latipinna,Poecilia mexicana,0.009076682316118936
Peromyscus leucopus,Peromyscus maniculatus,0.009139569115482403
Corapipo altera,Lepidothrix coronata,0.009207240948813982
Chlorocebus sabaeus,Macaca mulatta,0.009224781739770696
Bos mutus,Bos taurus,0.009236563258010979
Rhinopithecus bieti,Rhinopithecus roxellana,0.009274640088593578
Cercocebus atys,Papio anubis,0.009359788359788361
Lonchura striata,Taeniopygia guttata,0.009785743716522455
Camelus bactrianus,Camelus ferus,0.009857961949439666
Chlorocebus sabaeus,Macaca fascicularis,0.009907760814249362
Odobenus rosmarus,Zalophus californianus,0.009967141292442498
Macaca nemestrina,Papio anubis,0.00997988140618382
Camelus dromedarius,Camelus ferus,0.01018984889577683
Eumetopias jubatus,Odobenus rosmarus,0.010217417857579089
