org1,org2,dst
Acinonyx jubatus,Panthera tigris,0.0111474435196195
Notechis scutatus,Pseudonaja textilis,0.011251642575558475
Marmota flaviventris,Urocitellus parryii,0.011330003699593045
Camelus dromedarius,Vicugna pacos,0.01135046367851623
Lagenorhynchus obliquidens,Neophocaena asiaeorientalis,0.01136785449146251
Ictidomys tridecemlineatus,Marmota flaviventris,0.011475255005666792
Cyanistes caeruleus,Parus major,0.011620185922974768
Lepidothrix coronata,Manacus vitellinus,0.011693017127799736
Camelus ferus,Vicugna pacos,0.011712519936204147
Manacus vitellinus,Pipra filicauda,0.01184640522875817
Mus caroli,Mus musculus,0.01185
Camelus bactrianus,Vicugna pacos,0.011888454011741684
Orcinus orca,Sousa chinensis,0.011912258606213266
Bos indicus,Bubalus bubalis,0.012048790162633875
Lynx pardinus,Puma concolor,0.012069689336691855
Crocodylus porosus,Gavialis gangeticus,0.012070641607258587
Lynx pardinus,Panthera tigris,0.01208837015423093
Lagenorhynchus obliquidens,Tursiops truncatus,0.012171322925225965
Bison bison,Bubalus bubalis,0.012226134585289514
Lynx canadensis,Puma concolor,0.012304921968787515
Cyanistes caeruleus,Pseudopodoces humilis,0.012319316688567674
Orcinus orca,Tursiops truncatus,0.012349522623495226
Gorilla gorilla,Pan paniscus,0.012354180168502916
Panthera pardus,Puma concolor,0.01246523639253079
Neophocaena asiaeorientalis,Orcinus orca,0.012471973094170403
Piliocolobus tephrosceles,Rhinopithecus roxellana,0.012548891786179921
Colobus angolensis,Piliocolobus tephrosceles,0.012774633821571239
Lynx canadensis,Panthera tigris,0.012789768185451638
Callipepla squamata,Colinus virginianus,0.012805810397553517
Manacus vitellinus,Neopelma chrysocephalum,0.012862796833773086
Ailuropoda melanoleuca,Ursus arctos,0.01292145238977399
Macaca mulatta,Rhinopithecus roxellana,0.01302839625685705
Colobus angolensis,Rhinopithecus roxellana,0.013062836021505377
Rhinopithecus roxellana,Theropithecus gelada,0.01312803889789303
Panthera tigris,Puma concolor,0.013166177087704574
Haplochromis burtoni,Oreochromis niloticus,0.013342696629213483
Macaca fascicularis,Rhinopithecus roxellana,0.013479598445595854
Ictidomys tridecemlineatus,Marmota marmota,0.013483255451713395
Salmo salar,Salmo trutta,0.01354735883424408
Haliaeetus albicilla,Haliaeetus leucocephalus,0.013631687242798354
Colobus angolensis,Rhinopithecus bieti,0.014053504910260752
Colobus angolensis,Macaca mulatta,0.014172709294660513
